recommendation_type,model_name,source,candidate_hash,window_size,rul_cap,selected_blocks,feature_count,train_seconds,validation_MAE,validation_fitness,official_original_MAE,official_original_RMSE,official_original_R2,official_original_mean_error,official_original_overestimation_share,official_original_max_overestimation,official_near_failure_MAE,official_warning_zone_MAE,recommended_shift,official_calibrated_MAE,official_calibrated_RMSE,official_calibrated_R2,official_calibrated_mean_error,official_calibrated_overestimation_share,official_calibrated_max_overestimation,official_calibrated_near_failure_MAE,official_calibrated_warning_zone_MAE,practical_score
best_by_official_MAE,candidate_13,top_fitness,0deeb16e2638c6890b47f3519e7357f6,80,125.0,"[""edge_means"", ""first"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""rms"", ""slope"", ""slope_change"", ""std"", ""tail_quantiles"", ""volatility""]",403,25.256673899999896,8.387205010325602,12.561790827663469,11.426575919046666,15.23946473611768,0.8655131311342938,-4.448524979468258,0.39,35.326514674871774,5.064138518904262,5.624799729719952,0.5,11.545144794773794,15.392849327621011,0.8627922974480281,-4.948524979468258,0.37,34.826514674871774,5.044138518904261,5.674824911841393,
best_by_safety,candidate_15,top_fitness,f951d3d7c36fb14d1bd64d7ce9cdcf76,80,120.0,"[""first"", ""iqr"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",379,22.33765399999993,8.79039591833387,12.631208218364442,12.010717841136511,15.8241536577686,0.8549955138565927,-5.585126908383427,0.36,31.465305365808987,5.038294181294722,6.070981465092177,1.0,12.30606846552017,16.204138138186746,0.8479479326050802,-6.585126908383427,0.32,30.465305365808987,5.009878483104024,6.085419988217666,
best_practical,candidate_13,top_fitness,0deeb16e2638c6890b47f3519e7357f6,80,125.0,"[""edge_means"", ""first"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""rms"", ""slope"", ""slope_change"", ""std"", ""tail_quantiles"", ""volatility""]",403,25.256673899999896,8.387205010325602,12.561790827663469,11.426575919046666,15.23946473611768,0.8655131311342938,-4.448524979468258,0.39,35.326514674871774,5.064138518904262,5.624799729719952,0.5,11.545144794773794,15.392849327621011,0.8627922974480281,-4.948524979468258,0.37,34.826514674871774,5.044138518904261,5.674824911841393,12.537158142573793
