recommendation_type,model_name,source,candidate_hash,window_size,rul_cap,selected_blocks,feature_count,train_seconds,validation_MAE,validation_fitness,official_original_MAE,official_original_RMSE,official_original_R2,official_original_mean_error,official_original_overestimation_share,official_original_max_overestimation,official_near_failure_MAE,official_warning_zone_MAE,recommended_shift,official_calibrated_MAE,official_calibrated_RMSE,official_calibrated_R2,official_calibrated_mean_error,official_calibrated_overestimation_share,official_calibrated_max_overestimation,official_calibrated_near_failure_MAE,official_calibrated_warning_zone_MAE,practical_score
best_by_official_MAE,candidate_15,top_low_overestimation,2898e0487ceb31f75d24456842d49660,100,,"[""delta"", ""edge_means"", ""first"", ""max"", ""mean"", ""range"", ""relative_delta"", ""rms"", ""robust_spread"", ""slope_change"", ""tail_quantiles"", ""volatility""]",379,65.67534669999986,8.457474153559104,13.063566985612717,10.878381697966558,15.067951348758248,0.868523275962154,-2.6086011652101337,0.44,35.23840715486941,5.26862955143705,6.906011587560147,0.5,10.94738744862321,15.162511632765716,0.8668679099951984,-3.1086011652101337,0.42,34.73840715486941,5.12862955143705,6.867930367148075,
best_by_safety,candidate_16,top_low_overestimation,6ee505ee8badf87432c58a78b38ea367,100,120.0,"[""delta"", ""first"", ""iqr"", ""max"", ""median"", ""relative_last_minus_mean"", ""slope_change"", ""volatility""]",235,40.99520480000001,8.81089293968302,13.743665760643847,14.691861793243673,19.7872838210121,0.773267998340299,-7.492123990030751,0.34,41.54417072510819,6.613843983717727,10.854769540268896,1.0,15.028841116255142,20.18714563759197,0.7640117997367325,-8.492123990030752,0.32,40.54417072510819,6.528691381086439,11.03124012850419,
best_practical,candidate_15,top_low_overestimation,2898e0487ceb31f75d24456842d49660,100,,"[""delta"", ""edge_means"", ""first"", ""max"", ""mean"", ""range"", ""relative_delta"", ""rms"", ""robust_spread"", ""slope_change"", ""tail_quantiles"", ""volatility""]",379,65.67534669999986,8.457474153559104,13.063566985612717,10.878381697966558,15.067951348758248,0.868523275962154,-2.6086011652101337,0.44,35.23840715486941,5.26862955143705,6.906011587560147,0.5,10.94738744862321,15.162511632765716,0.8668679099951984,-3.1086011652101337,0.42,34.73840715486941,5.12862955143705,6.867930367148075,12.108238142023211
