generation,best_fitness,best_MAE,best_overestimation_share,best_near_failure_MAE
1,11.159388324604118,6.739936471835311,0.7,4.194162806059595
2,10.632799760560054,6.370335649720847,0.67,3.9838682521780657
3,10.632799760560054,6.370335649720847,0.67,3.9838682521780657
4,10.517286054813255,6.322903609072028,0.66,4.0308913297328495
5,10.517286054813255,6.322903609072028,0.66,4.0308913297328495
