selected_blocks,window_size,rul_cap,rf_max_depth,rf_min_samples_leaf,rf_min_samples_split,rf_max_features,MAE,RMSE,R2,mean_error,overestimation_share,max_overestimation,near_failure_MAE,warning_zone_MAE,feature_count,train_seconds,fitness,candidate_hash,status,from_cache
"['last_minus_mean', 'mean', 'slope', 'slope_change', 'std']",100,120.0,16,4,10,0.6,6.322903609072028,9.391762719988899,0.9318528186671359,3.37666264098495,0.66,29.80527734383371,4.0308913297328495,8.443820476189725,163,57.359879500000034,10.517286054813255,c4e64a59a703935574729f02036c2e6c,ok,False
"['last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'volatility']",100,120.0,16,4,10,0.6,6.370335649720847,9.406733104812215,0.9316353935370386,3.31325217487,0.67,31.082474406429213,3.9838682521780657,8.28201046180216,187,62.504399100000114,10.632799760560054,1bc0f70ad5a5e2379fef6fca8b313d4e,ok,False
"['last_minus_mean', 'mean', 'range', 'slope', 'slope_change', 'std']",100,120.0,16,4,10,0.6,6.3706129537084335,9.231622616686733,0.9341569774716385,3.492345499847539,0.68,30.14902437054161,4.304753966663013,8.238828393710879,187,41.90055170000005,10.669017137906158,37e3cc9f2819c27591616e2f4ad7a2eb,ok,False
"['last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'tail_quantiles', 'volatility']",100,120.0,16,4,10,0.6,6.549506035137116,9.706710157779582,0.9272056290211195,3.578304957106702,0.66,29.931780467672,4.154355639356215,8.672706766688759,235,63.44709119999993,10.766716170983324,07a4c6d2aace3304493b5c3533345de0,ok,False
"['iqr', 'last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'volatility']",100,120.0,16,4,10,0.6,6.560538663447789,9.53448682166319,0.9297658518003206,3.437387197779297,0.66,30.679951965634743,4.196435836760265,8.160674105428802,211,59.78757070000006,10.783079053574804,dc474d2ab1369488c85343390d0f536b,ok,False
"['last_minus_mean', 'mean', 'rms', 'slope', 'slope_change', 'std', 'volatility']",100,120.0,16,4,10,0.6,6.496453915256833,9.68235776760112,0.9275704268119488,3.776518506882394,0.7,29.783630890913102,3.7609719980889724,8.596369894863274,211,61.609082899999976,10.834695397625875,eb6bc82d2cce24e51a7520d3095be4a1,ok,False
"['edge_means', 'last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'volatility']",100,120.0,16,4,10,0.6,6.586781925829208,9.577867570623747,0.9291252842868397,3.5493934037623314,0.69,30.416624232637858,4.215405303368462,8.360216259938621,235,66.4608975000001,10.930921727475367,ef20599a6bc21aa852a0ba72976ecbc3,ok,False
"['first', 'last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'volatility']",100,120.0,16,4,10,0.6,6.556130429814515,9.602864154115196,0.9287548599612584,3.6449063986931147,0.7,30.42815856762286,4.1004486249997765,8.359724324634684,211,60.30139650000024,10.931400049828571,c38cf4269c904bc9ea06918391ece6c7,ok,False
"['last_minus_mean', 'slope', 'slope_change', 'std', 'volatility']",100,120.0,16,4,10,0.6,6.45018300609088,9.438317959665698,0.9311755290441299,3.6313765476108655,0.69,36.18812922874952,4.129840848355566,8.578586633469119,163,28.869667899999968,10.969357616160575,5cdd91d56d4a0a46392f8a5ce2435067,ok,False
"['last_minus_mean', 'mean', 'slope', 'slope_change', 'volatility']",80,130.0,16,4,10,0.6,6.889716218705035,10.297690859335708,0.9180718074104014,3.264104828912304,0.62,32.515295170101396,4.4985068264962305,8.253091561485542,163,66.78764720000004,11.035179282387197,399899c928f3cae5fd2848c7cc3d4003,ok,False
"['last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'volatility']",100,150.0,16,4,10,0.6,6.700533108352286,9.981111530962696,0.9230317714822145,3.9406186536584253,0.67,34.78723131968407,4.128789912219931,8.442631215546992,187,61.522123599999986,11.092158489542282,564a6538e1db25bea753779a0055925e,ok,False
"['last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'volatility']",100,130.0,16,4,10,0.6,6.700533108352286,9.981111530962696,0.9230317714822145,3.9406186536584253,0.67,34.78723131968407,4.128789912219931,8.442631215546994,187,61.93032410000001,11.092158489542282,f9989ff9018a5537d26b8f00a235dcc4,ok,False
