shift,MAE,RMSE,R2,mean_error,overestimation_share,max_overestimation,near_failure_MAE,warning_zone_MAE,candidate_hash
0.0,12.4039938909521,15.773862476611,0.8559157347891024,-4.507451444938912,0.43,30.14295000753515,5.853021137488986,8.423227046374107,13f7d88e1fc03c0d617fef0c7e05aaed
0.5,12.476789744126702,15.923950165583145,0.8531607778167063,-5.007451444938912,0.42,29.64295000753515,5.724204550187398,8.45263881107999,13f7d88e1fc03c0d617fef0c7e05aaed
1.0,12.56818130098881,16.08818325109813,0.8501162795842174,-5.507451444938911,0.4,29.14295000753515,5.648167097084945,8.482050575785872,13f7d88e1fc03c0d617fef0c7e05aaed
1.5,12.670564808314818,16.266133276407558,0.8467822400916356,-6.007451444938911,0.39,28.64295000753515,5.597701126388975,8.511462340491754,13f7d88e1fc03c0d617fef0c7e05aaed
2.0,12.782131594029103,16.457355292111554,0.843158659338961,-6.507451444938911,0.38,28.14295000753515,5.577701126388974,8.550090491752256,13f7d88e1fc03c0d617fef0c7e05aaed
2.5,12.902131594029104,16.661392338449122,0.8392455373261936,-7.007451444938911,0.38,27.64295000753515,5.557701126388975,8.638325785869903,13f7d88e1fc03c0d617fef0c7e05aaed
3.0,13.034021842280334,16.87777965553141,0.8350428740533332,-7.507451444938911,0.36,27.14295000753515,5.57368398353183,8.72656107998755,13f7d88e1fc03c0d617fef0c7e05aaed
3.5,13.191594828826394,17.106048566095236,0.8305506695203801,-8.00745144493891,0.31,26.64295000753515,5.627683983531831,8.814796374105198,13f7d88e1fc03c0d617fef0c7e05aaed
4.0,13.38404460585365,17.345729993014068,0.8257689237273342,-8.50745144493891,0.3,26.14295000753515,5.767683983531831,8.903031668222845,13f7d88e1fc03c0d617fef0c7e05aaed
4.5,13.577249323115554,17.593214311681947,0.8207616893500409,-9.000656162200817,0.3,25.64295000753515,5.8805028525794505,8.991266962340491,13f7d88e1fc03c0d617fef0c7e05aaed
5.0,13.772879927814358,17.849281385506007,0.8155061355072952,-9.490656162200816,0.29,25.14295000753515,5.98050285257945,9.079502256458138,13f7d88e1fc03c0d617fef0c7e05aaed
5.5,13.983662687554618,18.11029624811711,0.8100708761133065,-9.976420965591869,0.27,24.64295000753515,6.123633891540489,9.167737550575785,13f7d88e1fc03c0d617fef0c7e05aaed
6.0,14.194615329546448,18.378121648344298,0.8044117776343152,-10.457373607583701,0.27,24.14295000753515,6.2674444595078125,9.255972844693432,13f7d88e1fc03c0d617fef0c7e05aaed
6.5,14.407387313673432,18.654563219998607,0.7984834935255535,-10.937373607583702,0.26,23.64295000753515,6.418532396015751,9.34420813881108,13f7d88e1fc03c0d617fef0c7e05aaed
7.0,14.640681816655754,18.93763613367899,0.7923212833605825,-11.413243898942671,0.22,23.14295000753515,6.584945466213526,9.472828937130409,13f7d88e1fc03c0d617fef0c7e05aaed
7.5,14.895681816655754,19.22848944224602,0.7858930366076473,-11.88824389894267,0.22,22.64295000753515,6.784945466213526,9.61988776065982,13f7d88e1fc03c0d617fef0c7e05aaed
8.0,15.150681816655753,19.52717465814011,0.7791897256576238,-12.363243898942672,0.22,22.14295000753515,6.984945466213526,9.766946584189231,13f7d88e1fc03c0d617fef0c7e05aaed
8.5,15.411930705544643,19.833337944694332,0.7722113505105122,-12.838243898942672,0.19,21.64295000753515,7.20196102176908,9.925740701836292,13f7d88e1fc03c0d617fef0c7e05aaed
9.0,15.718916674714363,20.14478719814191,0.7650011030025532,-13.310003161763186,0.16,21.14295000753515,7.468269898447956,10.226143713040774,13f7d88e1fc03c0d617fef0c7e05aaed
9.5,16.022724921051356,20.457901757851367,0.7576390572085477,-13.77381140810018,0.16,20.64295000753515,7.703502883795941,10.54967312480548,13f7d88e1fc03c0d617fef0c7e05aaed
10.0,16.33006778445408,20.77593694017187,0.7500450782491057,-14.23381140810018,0.15,20.14295000753515,7.9235028837959405,10.873202536570188,13f7d88e1fc03c0d617fef0c7e05aaed
10.5,16.64056111778741,21.100079790135826,0.7421847213303782,-14.69381140810018,0.14,19.64295000753515,8.143502883795941,11.199633909119203,13f7d88e1fc03c0d617fef0c7e05aaed
11.0,16.960561117787407,21.430053162747836,0.7340579864523653,-15.15381140810018,0.14,19.14295000753515,8.36350288379594,11.581986850295674,13f7d88e1fc03c0d617fef0c7e05aaed
11.5,17.29287717859507,21.76439846322577,0.725694956662585,-15.610627906116054,0.11,18.64295000753515,8.623164746074185,11.97846093993153,13f7d88e1fc03c0d617fef0c7e05aaed
12.0,17.634881860232873,22.101818345443956,0.7171237630363039,-16.062632587753864,0.11,18.14295000753515,8.891183472625412,12.419637410519766,13f7d88e1fc03c0d617fef0c7e05aaed
12.5,17.974881860232873,22.443217388840598,0.7083172888313298,-16.512632587753863,0.11,17.64295000753515,9.151183472625412,12.860813881108001,13f7d88e1fc03c0d617fef0c7e05aaed
13.0,18.317268645947163,22.78937558053118,0.6992502274922723,-16.962632587753863,0.1,17.14295000753515,9.411183472625412,13.316030267662619,13f7d88e1fc03c0d617fef0c7e05aaed
13.5,18.667268645947164,23.140079341658804,0.689922579019131,-17.412632587753862,0.1,16.64295000753515,9.671183472625412,13.816030267662619,13f7d88e1fc03c0d617fef0c7e05aaed
14.0,19.026209168913216,23.49512512258699,0.6803343434119065,-17.86263258775386,0.09,16.14295000753515,9.931183472625412,14.316030267662619,13f7d88e1fc03c0d617fef0c7e05aaed
14.5,19.38620916891322,23.85431904527506,0.6704855206705982,-18.312632587753864,0.09,15.642950007535148,10.191183472625411,14.816030267662619,13f7d88e1fc03c0d617fef0c7e05aaed
15.0,19.749422840866593,24.217476534550954,0.6603761107952064,-18.762632587753863,0.08,15.142950007535148,10.451183472625415,15.31603026766262,13f7d88e1fc03c0d617fef0c7e05aaed
15.5,20.12861886539762,24.58442194336243,0.6500061137857309,-19.212632587753863,0.07,14.642950007535148,10.747967570749509,15.816030267662617,13f7d88e1fc03c0d617fef0c7e05aaed
16.0,20.508618865397615,24.954988176255142,0.6393755296421721,-19.66263258775386,0.07,14.142950007535148,11.047967570749508,16.31603026766262,13f7d88e1fc03c0d617fef0c7e05aaed
16.5,20.89810740259025,25.329016314590422,0.6284843583645296,-20.112632587753858,0.06,13.642950007535148,11.347967570749509,16.81603026766262,13f7d88e1fc03c0d617fef0c7e05aaed
17.0,21.28810740259025,25.706355246369363,0.6173325999528038,-20.562632587753857,0.06,13.142950007535148,11.647967570749508,17.31603026766262,13f7d88e1fc03c0d617fef0c7e05aaed
17.5,21.686073606119603,26.086861302968117,0.6059202544069943,-21.012632587753856,0.05,12.642950007535148,11.947967570749508,17.81603026766262,13f7d88e1fc03c0d617fef0c7e05aaed
18.0,22.0860736061196,26.47039790460373,0.5942473217271012,-21.46263258775386,0.05,12.142950007535148,12.247967570749509,18.31603026766262,13f7d88e1fc03c0d617fef0c7e05aaed
18.5,22.486073606119604,26.856835215933454,0.5823138019131245,-21.912632587753862,0.05,11.642950007535148,12.547967570749508,18.81603026766262,13f7d88e1fc03c0d617fef0c7e05aaed
19.0,22.88287240572278,27.24274102238864,0.570224098905362,-22.359431387357034,0.05,11.142950007535148,12.83516276916221,19.31603026766262,13f7d88e1fc03c0d617fef0c7e05aaed
19.5,23.27500162199262,27.62802315975442,0.557981874418354,-22.801560603626875,0.05,10.642950007535148,13.103679634241573,19.81603026766262,13f7d88e1fc03c0d617fef0c7e05aaed
20.0,23.66500162199262,28.014803663769513,0.5455191148656773,-23.241560603626876,0.05,10.142950007535148,13.363679634241572,20.316030267662622,13f7d88e1fc03c0d617fef0c7e05aaed
