shift,MAE,RMSE,R2,mean_error,overestimation_share,max_overestimation,near_failure_MAE,warning_zone_MAE,candidate_hash
0.0,12.827176892707437,21.336564661848325,0.7363732666501079,6.435243943052577,0.66,116.48544314422739,3.2897226087897415,5.733078723183399,1f251a311c4b6c9d9c38593007e33359
0.5,12.678814591216799,21.191124265271586,0.7399550333006137,5.935243943052577,0.61,115.98544314422739,3.10170838876964,5.604599546382798,1f251a311c4b6c9d9c38593007e33359
1.0,12.575812203291042,21.05655488637991,0.743247258691027,5.435243943052577,0.6,115.48544314422739,3.0296988370666122,5.516364252265151,1f251a311c4b6c9d9c38593007e33359
1.5,12.47581220329104,20.933066181046605,0.7462499428213473,4.935243943052577,0.6,114.98544314422739,2.969698837066612,5.428128958147504,1f251a311c4b6c9d9c38593007e33359
2.0,12.391140836300039,20.820855308969044,0.7489630856915748,4.435243943052577,0.57,114.48544314422739,2.909698837066612,5.374830609413903,1f251a311c4b6c9d9c38593007e33359
2.5,12.330938865472666,20.720105498138082,0.7513866873017094,3.935243943052577,0.55,113.98544314422739,2.888890953757113,5.34541884470802,1f251a311c4b6c9d9c38593007e33359
3.0,12.306950456931428,20.63098465684368,0.7535207476517513,3.4352439430525776,0.5,113.48544314422739,2.94564696076139,5.35903980543991,1f251a311c4b6c9d9c38593007e33359
3.5,12.317946887649317,20.55364405568674,0.7553652667417001,2.935243943052577,0.46,112.98544314422739,3.082131211425585,5.458306676333086,1f251a311c4b6c9d9c38593007e33359
4.0,12.381297912623786,20.488217102149573,0.7569202445715564,2.4352439430525767,0.43,112.48544314422739,3.331907569555012,5.643413040362723,1f251a311c4b6c9d9c38593007e33359
4.5,12.457948888508449,20.434818229721582,0.7581856811413198,1.9352439430525772,0.42,111.98544314422739,3.5919075695550124,5.8492953933038985,1f251a311c4b6c9d9c38593007e33359
5.0,12.558660292584753,20.393541922351524,0.7591615764509901,1.4352439430525772,0.37,111.48544314422739,3.887466188084703,6.103272507316516,1f251a311c4b6c9d9c38593007e33359
5.5,12.689574022699315,20.362704460875705,0.7598893784678546,0.9387608612200511,0.36,110.98544314422739,4.213398515414808,6.3679783896694575,1f251a311c4b6c9d9c38593007e33359
6.0,12.833940747926487,20.343266013591506,0.7603475838014941,0.44376086122005104,0.35,110.48544314422739,4.533398515414809,6.632684272022399,1f251a311c4b6c9d9c38593007e33359
6.5,12.979404506966166,20.335740248668298,0.7605248644939329,-0.05053696220669981,0.34,109.98544314422739,4.8505898091218125,6.89739015437534,1f251a311c4b6c9d9c38593007e33359
7.0,13.139238367448927,20.338826623566916,0.7604521682334818,-0.5405369622066998,0.32,109.48544314422739,5.189925251052858,7.162096036728281,1f251a311c4b6c9d9c38593007e33359
7.5,13.310337866473082,20.352669986210863,0.7601259669128413,-1.0273366125612424,0.31,108.98544314422739,5.557123852471028,7.426801919081222,1f251a311c4b6c9d9c38593007e33359
8.0,13.494985812090384,20.377708707805443,0.7595353973570618,-1.5123366125612423,0.29,108.48544314422739,5.9378940172364505,7.717716062763257,1f251a311c4b6c9d9c38593007e33359
8.5,13.689004432753507,20.41421197138897,0.758673121344657,-1.9963552332243664,0.29,107.98544314422739,6.333968499888946,8.041245474527964,1f251a311c4b6c9d9c38593007e33359
9.0,13.901659229940899,20.460850560180166,0.7575691843518323,-2.4763552332243663,0.26,107.48544314422739,6.738028178428501,8.407341148989984,1f251a311c4b6c9d9c38593007e33359
9.5,14.126591687755772,20.519082846931763,0.7561872877493185,-2.9563552332243663,0.25,106.98544314422739,7.158028178428501,8.789694090166455,1f251a311c4b6c9d9c38593007e33359
