model_name,source,candidate_hash,window_size,rul_cap,selected_blocks,feature_count,train_seconds,validation_MAE,validation_fitness,official_original_MAE,official_original_RMSE,official_original_R2,official_original_mean_error,official_original_overestimation_share,official_original_max_overestimation,official_near_failure_MAE,official_warning_zone_MAE,recommended_shift,official_calibrated_MAE,official_calibrated_RMSE,official_calibrated_R2,official_calibrated_mean_error,official_calibrated_overestimation_share,official_calibrated_max_overestimation,official_calibrated_near_failure_MAE,official_calibrated_warning_zone_MAE
candidate_15,top_low_overestimation,2898e0487ceb31f75d24456842d49660,100,,"[""delta"", ""edge_means"", ""first"", ""max"", ""mean"", ""range"", ""relative_delta"", ""rms"", ""robust_spread"", ""slope_change"", ""tail_quantiles"", ""volatility""]",379,65.67534669999986,8.457474153559104,13.063566985612717,10.878381697966558,15.067951348758248,0.868523275962154,-2.6086011652101337,0.44,35.23840715486941,5.26862955143705,6.906011587560147,0.5,10.94738744862321,15.162511632765716,0.8668679099951984,-3.1086011652101337,0.42,34.73840715486941,5.12862955143705,6.867930367148075
candidate_22,top_near_failure,0667e9dd94468dac419eec524dd2a320,80,125.0,"[""edge_means"", ""first"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""std"", ""tail_quantiles"", ""volatility""]",427,39.24831649999942,6.82716647190881,11.261359022607834,11.451457325928242,15.126531552785456,0.8674989953975598,-4.488308962794139,0.39,35.60090180552007,5.086731751046458,5.868490521223733,0.5,11.573101793464545,15.282351448000668,0.8647551235019667,-4.988308962794139,0.36,35.10090180552007,5.041335295084121,5.902454257188416
candidate_21,top_near_failure,73971c956b3e4407df08d138f006eb7c,80,150.0,"[""edge_means"", ""first"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""std"", ""tail_quantiles"", ""volatility""]",427,41.245469099999355,6.827166471908808,11.261359022607834,11.451457325928247,15.126531552785456,0.8674989953975598,-4.488308962794141,0.39,35.600901805520024,5.086731751046457,5.8684905212237375,0.5,11.573101793464545,15.282351448000668,0.8647551235019667,-4.988308962794141,0.36,35.100901805520024,5.04133529508412,5.902454257188417
candidate_14,top_low_overestimation,c03e1c93bc54d09ce492393e64c3cdd2,50,,"[""last_minus_mean"", ""mean"", ""slope"", ""std"", ""volatility""]",163,30.961727299999893,7.539331341803412,11.893329287114298,11.674957897798658,15.177443531300362,0.8666055664273601,-3.3762755006063903,0.43,36.043327512791876,6.041071233689031,7.102711066831854,0.5,11.74810125754097,15.296439704925378,0.8645056536715814,-3.8762755006063903,0.41,35.543327512791876,5.981071233689031,7.073299302125972
candidate_7,top_fitness,07a4c6d2aace3304493b5c3533345de0,100,120.0,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""tail_quantiles"", ""volatility""]",235,45.44228629999998,6.549506035137116,10.766716170983324,11.826130983821878,15.374759344789625,0.8631146063893904,-5.011805267054422,0.41,28.568799465720517,5.182954396462865,7.7909638697547585,0.5,11.925977265735511,15.544935837025843,0.8600675869346184,-5.511805267054422,0.4,28.068799465720517,5.122954396462864,7.702728575637112
candidate_18,top_near_failure,f9989ff9018a5537d26b8f00a235dcc4,100,130.0,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",187,23.37631420000025,6.700533108352286,11.092158489542282,11.938125191759767,15.705429497260589,0.8571632069419585,-4.682613654746009,0.44,30.899412944157163,5.08715271667393,7.491035360429084,0.5,12.027473396157289,15.861687468493665,0.854306816595666,-5.182613654746009,0.4,30.399412944157163,4.999310560876799,7.441291638477906
candidate_19,top_near_failure,1f251a311c4b6c9d9c38593007e33359,100,,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",187,23.93552279999949,6.700533108352286,11.092158489542284,11.938125191759768,15.705429497260587,0.8571632069419585,-4.682613654746007,0.44,30.899412944157135,5.08715271667393,7.491035360429088,0.5,12.027473396157289,15.861687468493663,0.854306816595666,-5.1826136547460075,0.4,30.399412944157135,4.999310560876799,7.44129163847791
candidate_17,top_mae,564a6538e1db25bea753779a0055925e,100,150.0,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",187,25.963029600000027,6.700533108352286,11.092158489542282,11.938125191759768,15.705429497260589,0.8571632069419585,-4.682613654746007,0.44,30.899412944157163,5.0871527166739305,7.4910353604290885,0.5,12.02747339615729,15.861687468493665,0.8543068165956659,-5.182613654746006,0.4,30.399412944157163,4.999310560876799,7.441291638477911
candidate_20,top_near_failure,47c0a901a5dfdd25f841ab619a4eabc3,100,125.0,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",187,22.417156599999544,6.700533108352286,11.092158489542284,11.93812519175977,15.705429497260589,0.8571632069419584,-4.682613654746007,0.44,30.899412944157163,5.08715271667393,7.491035360429087,0.5,12.027473396157292,15.861687468493665,0.8543068165956659,-5.182613654746007,0.4,30.399412944157163,4.999310560876799,7.4412916384779075
candidate_4,top_fitness,c4e64a59a703935574729f02036c2e6c,100,120.0,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std""]",163,33.12701190000007,6.322903609072028,10.517286054813255,12.011260918206341,15.868136795902206,0.8541883154504164,-5.495509294316721,0.43,28.11630964789215,5.031723011220226,7.537636253028779,0.5,12.090332024878048,16.04815486801465,0.8508611914485134,-5.995509294316721,0.4,27.61630964789215,4.931723011220226,7.455651162336375
