selected_blocks,window_size,rul_cap,rf_max_depth,rf_min_samples_leaf,rf_min_samples_split,rf_max_features,MAE,RMSE,R2,mean_error,overestimation_share,max_overestimation,near_failure_MAE,warning_zone_MAE,feature_count,train_seconds,fitness,candidate_hash,status,from_cache
"['edge_means', 'first', 'last', 'max', 'mean', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'slope', 'slope_change', 'tail_quantiles', 'volatility']",80,120.0,16,3,5,0.4,8.781646849478097,13.374844530001514,0.9183119547822436,-0.3668653910356657,0.5166666666666667,32.960482370192864,4.421178512803044,7.84030419802694,403,22.129227900000046,12.681281576707992,35dc8d373e76d0045b3dcabaa65fe344,ok,False
"['edge_means', 'first', 'last', 'max', 'mean', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'slope_change', 'tail_quantiles', 'volatility']",80,130.0,16,3,5,0.4,8.326087514487874,12.52707413208199,0.9283394208704125,1.3778347914148081,0.6083333333333333,37.47324679937756,4.012188902624967,8.249607834042498,427,21.326545699999997,12.695065233479232,55b290c9608fdc047ee0afe964799985,ok,False
"['edge_means', 'first', 'last', 'max', 'mean', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'slope_change', 'volatility']",80,150.0,16,3,5,0.4,8.202795957412818,11.968391805943407,0.9345887249355261,2.9854493802472164,0.6333333333333333,38.37151616297368,4.094762723540635,8.236302810763325,379,20.502102100000002,12.70809841489077,1209827b89ee1449ce94cf69f5212e28,ok,False
"['edge_means', 'first', 'last', 'max', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'slope_change', 'std', 'tail_quantiles', 'volatility']",80,125.0,16,3,5,0.4,8.537936595170471,12.872666094260829,0.9243309943516713,0.5776739688121907,0.6,33.96665135082141,3.8826725115126814,8.628195352913995,427,50.02523910000002,12.767984651193197,0667e9dd94468dac419eec524dd2a320,ok,False
"['last_minus_mean', 'mean', 'slope', 'slope_change', 'volatility']",100,130.0,16,4,10,0.6,9.102778132876075,13.414546349829894,0.9178262702508317,0.5616254148431625,0.6,32.660356869990096,4.163121029471053,8.883753187907661,163,15.805745899999998,13.337513490028613,279244f39ffce5a97a8855b4d0b63c41,ok,False
"['last_minus_mean', 'mean', 'slope', 'slope_change', 'volatility']",100,150.0,16,4,10,0.6,8.985312963281167,13.268256046013606,0.9196087639382637,2.97374676826775,0.6166666666666667,37.432924862835605,4.224031386467779,8.917882311743897,163,15.86445139999995,13.43856643467879,f5d9b680b7edd519d8c7041a242b6e26,ok,False
"['delta', 'first', 'iqr', 'max', 'min', 'range', 'relative_delta', 'rms', 'robust_spread', 'slope', 'std']",80,150.0,24,5,5,,8.979312049978356,12.616550277136314,0.9273120762190442,2.6615763477421663,0.6583333333333333,41.66724926633401,4.447334638997934,8.94180812182684,307,24.366529699999973,13.754015342854535,226b8f08f3315ef17f636586b8021c80,ok,False
"['edge_means', 'first', 'max', 'median', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'robust_spread', 'slope', 'tail_quantiles', 'volatility']",100,130.0,20,2,4,,9.529915869232498,14.714659908350733,0.9011261428737136,0.6868258113013485,0.6083333333333333,31.987431887308304,4.342071088633589,9.73479855037253,403,27.18437929999999,13.833312631836014,8f7c6edbc24864eed4004022f9d87a83,ok,False
"['delta', 'first', 'iqr', 'min', 'range', 'relative_delta', 'rms', 'robust_spread', 'slope', 'std']",60,150.0,24,5,5,,9.329110982066418,13.449730683821846,0.9173946463248308,3.1095327737528904,0.5916666666666667,41.45277251195468,4.555126753404783,9.859949536132751,283,29.533533499999976,13.880374015945609,e540decbab0104ad84cd393d15e2b7f5,ok,False
"['delta', 'edge_means', 'median', 'range', 'robust_spread', 'tail_quantiles']",100,130.0,16,5,4,0.6,9.86874222132553,14.445413311632702,0.9047113962324338,2.483220345343623,0.6166666666666667,36.93382624749398,4.609343515238062,11.317748014934946,235,15.611872399999982,14.44925481784298,fa359d6b1447c0680c8fc820df9f6095,ok,False
"['delta', 'edge_means', 'first', 'last_minus_mean', 'max', 'mean', 'median', 'min', 'range', 'slope', 'slope_change', 'std', 'tail_quantiles', 'volatility']",40,125.0,24,3,2,0.4,10.142833473109784,14.523843489467128,0.9036738640610028,2.7792057754300417,0.6416666666666667,38.14656204259725,5.588887751061516,11.444040649626443,427,32.83541700000001,14.982325157166807,a0f534b1f9e95faf884488db1b38a229,ok,False
"['edge_means', 'first', 'last', 'max', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'slope_change', 'tail_quantiles', 'volatility']",80,,16,3,5,0.4,10.170135112307618,15.11334840467821,0.8956956533660029,6.227098612381358,0.7166666666666667,52.58654883165383,4.160401212000756,8.516436972500673,403,21.53252839999999,15.454303868264017,6ab1fff6d27303f70be8695d5839c82e,ok,False
"['delta', 'first', 'iqr', 'max', 'median', 'relative_last_minus_mean', 'slope_change', 'volatility']",100,120.0,16,3,4,,10.809197875496897,15.806766158741308,0.885904878370255,1.0774012002899043,0.5833333333333334,44.432783446711994,5.398726829895509,12.188951669305586,235,18.085055599999976,15.610919998591276,6ee505ee8badf87432c58a78b38ea367,ok,False
"['delta', 'first', 'iqr', 'max', 'min', 'range', 'relative_delta', 'rms', 'robust_spread', 'slope', 'std']",80,,24,5,5,,10.430097716242308,15.903054143319839,0.8845106083279738,5.560321772562664,0.7,68.28507903161258,4.616801715577703,8.236330131575956,307,24.019584899999984,16.162119498323047,4d1bcd48f2373cb87b4673d329e65ee3,ok,False
"['first', 'max', 'median', 'tail_quantiles']",40,125.0,24,2,8,sqrt,10.935378733079453,14.894894925755695,0.8986891622872658,3.84937038493884,0.7083333333333334,37.177093398991715,7.010853370583084,12.266237526594677,163,14.39406439999999,16.215976773916296,dbe89deb994fbf24e8d3cd7b5f9399ca,ok,False
"['last', 'median', 'rms', 'std', 'volatility']",100,,24,1,10,0.6,12.781683471504797,19.855142978248285,0.81997738901721,9.743250317999305,0.775,63.22353797229846,4.4134190723566284,10.27816784740995,163,35.1837407,18.719126613252946,7010f628f2b8f23b01c2170791b7c58a,ok,False
"['edge_means', 'first', 'last', 'max', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'tail_quantiles', 'volatility']",50,,16,3,5,0.4,13.142246138538761,20.07237503164139,0.8160166407551048,9.594784830289564,0.725,65.5425898322037,4.633125060858737,12.603477376653688,379,25.032877599999892,19.068637935874065,50b82b7ac4bfb7aee11cf34ad27b4301,ok,False
"['delta', 'edge_means', 'first', 'max', 'mean', 'range', 'relative_delta', 'rms', 'robust_spread', 'slope_change', 'tail_quantiles', 'volatility']",100,,12,4,2,,13.263073961568717,21.534424265404077,0.7882382345639007,8.781714829994671,0.7,88.66288906502095,4.5395884550608745,11.828582872842068,379,23.40811169999995,19.74085456304033,2898e0487ceb31f75d24456842d49660,ok,False
"['delta', 'first', 'median', 'relative_last_minus_mean']",50,120.0,20,1,2,0.8,13.775327034244102,18.23468800848682,0.8481629726021789,3.940368809126083,0.6833333333333333,50.7,9.770665219442826,15.236746369737228,139,20.5591522,19.81161004870006,2523459e880bdf90906b57b0942f0da2,ok,False
"['edge_means', 'first', 'iqr', 'last', 'max', 'mean', 'median', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'std']",50,,20,3,5,,14.410305949633043,22.760377932466028,0.7634407377946915,10.24120458123327,0.75,87.27513888888885,4.79913917055567,11.911313186863152,403,53.9707591,21.08090934424091,e722a2b98432005e2fb4b3214deef2fc,ok,False
