version,MAE,RMSE,R2,mean_error,overestimation_share,max_overestimation,near_failure_MAE,warning_zone_MAE
Denis baseline (raw),12.311321726155334,16.52720091726585,0.8418245534233313,-4.231854771380562,0.42,37.22624013452507,5.429046103194064,7.068734870001911
Denis calibrated (shift=0.5),12.393951518377003,16.662239493269016,0.8392291896672142,-4.731854771380562,0.41,36.72624013452507,5.4195652720807335,7.0393231052960274
