shift,MAE,RMSE,R2,mean_error,overestimation_share,max_overestimation,near_failure_MAE,warning_zone_MAE,candidate_hash
0.0,13.441856347743396,18.688417033277002,0.7977514160827905,2.8718142167733167,0.49,54.74620345070548,5.093601118539061,6.317697221847909,6ab1fff6d27303f70be8695d5839c82e
0.5,13.457848282753282,18.61813946109827,0.7992696628668982,2.371814216773317,0.48,54.24620345070548,5.07360111853906,6.32353213367077,6ab1fff6d27303f70be8695d5839c82e
1.0,13.485054459587454,18.561069548281193,0.800498368390913,1.871814216773317,0.47,53.74620345070548,5.053601118539061,6.352943898376652,6ab1fff6d27303f70be8695d5839c82e
1.5,13.524651219688769,18.51732941218463,0.8014375326548351,1.371814216773317,0.46,53.24620345070548,5.071988158944325,6.382355663082534,6ab1fff6d27303f70be8695d5839c82e
2.0,13.569927065655827,18.487013667506837,0.8020871556586643,0.8718142167733168,0.45,52.74620345070548,5.1130915428125485,6.4117674277884165,6ab1fff6d27303f70be8695d5839c82e
2.5,13.63251891976369,18.470188416088543,0.8024472374024005,0.371814216773317,0.42,52.24620345070548,5.199614403546209,6.476244715579291,6ab1fff6d27303f70be8695d5839c82e
3.0,13.71251891976369,18.46689053167961,0.8025177778860442,-0.12818578322668298,0.42,51.74620345070548,5.339614403546209,6.564480009696938,6ab1fff6d27303f70be8695d5839c82e
3.5,13.79711164353365,18.477127257565357,0.8022987771095949,-0.6281857832266828,0.41,51.24620345070548,5.479614403546209,6.679731325990825,6ab1fff6d27303f70be8695d5839c82e
4.0,13.890803268538262,18.50087612724034,0.8017902350730527,-1.128185783226683,0.4,50.74620345070548,5.634380903564648,6.826790149520237,6ab1fff6d27303f70be8695d5839c82e
4.5,14.00061378620823,18.53808521014827,0.8009921517764178,-1.628185783226683,0.39,50.24620345070548,5.814380903564649,7.031557900520042,6ab1fff6d27303f70be8695d5839c82e
5.0,14.120281456401601,18.587058677364492,0.7999392946197034,-2.1245174638845254,0.37,49.74620345070548,6.033051584338146,7.2374402534612186,6ab1fff6d27303f70be8695d5839c82e
5.5,14.24178012606527,18.646702528906715,0.7986532884697628,-2.616016133548195,0.37,49.24620345070548,6.259046262992825,7.443322606402395,6ab1fff6d27303f70be8695d5839c82e
