model_name,source,candidate_hash,window_size,rul_cap,selected_blocks,feature_count,train_seconds,validation_MAE,validation_fitness,official_original_MAE,official_original_RMSE,official_original_R2,official_original_mean_error,official_original_overestimation_share,official_original_max_overestimation,official_near_failure_MAE,official_warning_zone_MAE,recommended_shift,official_calibrated_MAE,official_calibrated_RMSE,official_calibrated_R2,official_calibrated_mean_error,official_calibrated_overestimation_share,official_calibrated_max_overestimation,official_calibrated_near_failure_MAE,official_calibrated_warning_zone_MAE
candidate_12,top_fitness,c3ea02c389ebd390b52b48b3716c4cf9,80,120.0,"[""edge_means"", ""first"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",403,24.990082699999903,8.62812504456675,12.549598499937638,11.876933316591838,15.67619094027758,0.8576945460178111,-5.435524862826157,0.36,33.9786936427239,5.204598177449518,5.834482613282957,0.5,12.02068370774981,15.85649668933422,0.8544021579516675,-5.935524862826157,0.35,33.4786936427239,5.1845981774495185,5.8638943779888395
candidate_17,top_low_overestimation,35dc8d373e76d0045b3dcabaa65fe344,80,120.0,"[""edge_means"", ""first"", ""last"", ""max"", ""mean"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",403,24.81931089999989,8.781646849478097,12.681281576707992,11.80775549884537,15.510341087109047,0.8606897239730996,-5.354345654533506,0.36,32.21089583374918,5.277148296611379,6.2761092283461455,1.0,12.094611840114453,15.883304818189762,0.8539094255017691,-6.354345654533506,0.33,31.210895833749177,5.250046336003361,6.33493275775791
candidate_11,top_fitness,83ebcf806ff486dd4551b13f7c6167d4,80,120.0,"[""first"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",355,22.71544760000006,8.604857409769393,12.491160312968951,11.804102626261948,15.597999018213866,0.8591106280565708,-5.497059361596467,0.34,31.128302620127172,5.068137143912931,5.819246866808022,1.0,12.127992369353825,15.977850046091735,0.8521650435589383,-6.497059361596467,0.33,30.128302620127172,5.043696116280432,5.878070396219787
candidate_15,top_fitness,f951d3d7c36fb14d1bd64d7ce9cdcf76,80,120.0,"[""first"", ""iqr"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",379,22.33765399999993,8.79039591833387,12.631208218364442,12.010717841136511,15.8241536577686,0.8549955138565927,-5.585126908383427,0.36,31.465305365808987,5.038294181294722,6.070981465092177,1.0,12.30606846552017,16.204138138186746,0.8479479326050802,-6.585126908383427,0.32,30.465305365808987,5.009878483104024,6.085419988217666
candidate_1,cap_none,6ab1fff6d27303f70be8695d5839c82e,80,,"[""edge_means"", ""first"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",403,26.38174700000002,10.170135112307618,15.454303868264017,13.441856347743396,18.688417033277002,0.7977514160827905,2.8718142167733167,0.49,54.74620345070548,5.093601118539061,6.317697221847909,0.5,13.457848282753282,18.61813946109827,0.7992696628668982,2.371814216773317,0.48,54.24620345070548,5.07360111853906,6.32353213367077
candidate_2,cap_none,4d1bcd48f2373cb87b4673d329e65ee3,80,,"[""delta"", ""first"", ""iqr"", ""max"", ""min"", ""range"", ""relative_delta"", ""rms"", ""robust_spread"", ""slope"", ""std""]",307,37.32554950000008,10.430097716242308,16.162119498323047,13.558845442764401,19.016735150846582,0.7905827887656114,2.2575637458430053,0.51,59.929450383401445,5.522116784953966,6.941538865097666,1.0,13.56320031544268,18.92408751580266,0.7926183376522707,1.2575637458430051,0.47,58.929450383401445,5.421165537384886,6.976363755245013
candidate_3,cap_none,7010f628f2b8f23b01c2170791b7c58a,100,,"[""last"", ""median"", ""rms"", ""std"", ""volatility""]",163,11.277516700000092,12.781683471504797,18.719126613252946,14.705163305483405,20.945335955767725,0.7459523878931122,5.920356073857708,0.56,73.52299119939656,4.8767780504385385,8.916697570816606,2.0,14.58123520157858,20.470116609451576,0.7573495566749536,3.92035607385771,0.51,71.52299119939656,4.781342899190577,9.034344629640135
candidate_5,cap_none,2898e0487ceb31f75d24456842d49660,100,,"[""delta"", ""edge_means"", ""first"", ""max"", ""mean"", ""range"", ""relative_delta"", ""rms"", ""robust_spread"", ""slope_change"", ""tail_quantiles"", ""volatility""]",379,43.77688680000006,13.263073961568717,19.74085456304033,15.039006293300975,22.186655092295375,0.7149479820685497,5.0738194333113915,0.55,104.2649699852972,4.9917680720290045,7.777210911144438,1.0,14.980537573519372,21.979536512807854,0.7202452198371818,4.0738194333113915,0.5,103.2649699852972,4.768423292346602,8.042466994118692
candidate_18,top_low_overestimation,6ee505ee8badf87432c58a78b38ea367,100,120.0,"[""delta"", ""first"", ""iqr"", ""max"", ""median"", ""relative_last_minus_mean"", ""slope_change"", ""volatility""]",235,28.074672299999975,10.809197875496897,15.610919998591276,14.6748692146274,19.76963575328394,0.773672257698252,-7.471174610992932,0.34,41.544170725108174,6.618705137245805,10.84845062062645,1.0,15.003437313969577,20.168808766000744,0.7644403219331045,-8.471174610992932,0.33,40.544170725108174,6.532977534614519,11.024921208861743
candidate_4,cap_none,50b82b7ac4bfb7aee11cf34ad27b4301,50,,"[""edge_means"", ""first"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""tail_quantiles"", ""volatility""]",379,28.68839939999998,13.142246138538761,19.068637935874065,15.307010888335185,22.322572207719173,0.7114447842681135,4.18123487151137,0.53,101.43333489940235,5.958349448912511,6.368593756746964,0.5,15.28002695074951,22.234342695418835,0.7137212936649502,3.6812348715113696,0.52,100.93333489940235,5.898349448912511,6.398005521452847
candidate_6,cap_none,e722a2b98432005e2fb4b3214deef2fc,50,,"[""edge_means"", ""first"", ""iqr"", ""last"", ""max"", ""mean"", ""median"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""std""]",403,87.05985910000004,14.410305949633043,21.08090934424091,16.5576846870921,25.57194314756817,0.621323882045026,4.288355027889893,0.49,143.808365474803,5.6199075113053985,6.423507623080941,1.0,16.58709161097976,25.423366541169933,0.6257114223988429,3.2883550278898936,0.47,142.808365474803,5.617535206856036,6.364684093669176
